Area Name ,Year ,Month,Date,Labor Force,Employment ,Unemployment 
Sutter,2018,April,Apr-18,45200,41600,3600
Tehama,2018,April,Apr-18,25510,24110,1400
Trinity,2018,April,Apr-18,4950,4670,280
Tulare,2018,April,Apr-18,209500,190200,19300
Tuolumne,2018,April,Apr-18,21010,20060,960
Ventura,2018,April,Apr-18,424600,410800,13800
Yolo,2018,April,Apr-18,106400,102100,4300
Yuba,2018,April,Apr-18,28400,26600,1800
Alameda,2018,March,Mar-18,848800,823800,25000
Alpine,2018,March,Mar-18,530,510,20
Amador,2018,March,Mar-18,14580,13940,650
Butte,2018,March,Mar-18,103100,97700,5400
Calaveras,2018,March,Mar-18,21260,20330,920
Colusa,2018,March,Mar-18,10810,8780,2030
Contra Costa,2018,March,Mar-18,564400,546800,17600
Del Norte,2018,March,Mar-18,9740,9180,570
El Dorado,2018,March,Mar-18,90300,86800,3400
Fresno,2018,March,Mar-18,449800,410800,39100
Glenn,2018,March,Mar-18,12940,11970,970
Humboldt,2018,March,Mar-18,63130,60790,2350
Imperial,2018,March,Mar-18,71600,60600,11100
Inyo,2018,March,Mar-18,8700,8340,370
Kern,2018,March,Mar-18,376500,340200,36300
Kings,2018,March,Mar-18,57500,52200,5300
Lake,2018,March,Mar-18,29700,28060,1630
Lassen,2018,March,Mar-18,9790,9210,580
Los Angeles,2018,March,Mar-18,5152000,4937300,214700
Madera,2018,March,Mar-18,61200,56200,5000
Marin,2018,March,Mar-18,140900,137600,3300
Mariposa,2018,March,Mar-18,7060,6560,500
Mendocino,2018,March,Mar-18,39970,38220,1750
Merced,2018,March,Mar-18,116600,104800,11900
Modoc,2018,March,Mar-18,3230,2920,310
Mono,2018,March,Mar-18,9180,8850,320
Monterey,2018,March,Mar-18,214000,194000,20100
Napa,2018,March,Mar-18,72700,70400,2300
